record_id,campaign_id,date,spend,impressions,clicks,leads,conversions,revenue,ctr,cpc,data_source
REC_0000018,CAMP_1000,2024-10-17,1904.5,30271,835,34,1,2380.95,2.7584,2.28,synthetic
REC_0000019,CAMP_1000,2024-10-18,878.89,17022,491,19,0,0.0,2.8845,1.79,synthetic
REC_0000020,CAMP_1000,2024-10-19,731.2,8179,209,6,0,0.0,2.5553,3.5,synthetic
REC_0000021,CAMP_1000,2024-10-20,918.87,8029,235,13,0,0.0,2.9269,3.91,synthetic
REC_0000022,CAMP_1000,2024-10-21,1716.15,15447,442,36,0,0.0,2.8614,3.88,synthetic
REC_0000023,CAMP_1000,2024-10-22,1249.86,15149,139,6,0,0.0,0.9176,8.99,synthetic
REC_0000024,CAMP_1000,2024-10-23,1091.54,8698,229,8,0,0.0,2.6328,4.77,synthetic
REC_0000025,CAMP_1000,2024-10-24,1907.97,29508,732,29,2,2739.32,2.4807,2.61,synthetic
REC_0000026,CAMP_1000,2024-10-25,1083.37,12641,147,6,0,0.0,1.1629,7.37,synthetic
REC_0000027,CAMP_1000,2024-10-26,771.09,12280,296,18,0,0.0,2.4104,2.61,synthetic
REC_0000028,CAMP_1000,2024-10-27,1040.45,16285,300,27,0,0.0,1.8422,3.47,synthetic
REC_0000029,CAMP_1000,2024-10-28,1568.35,13750,387,34,0,0.0,2.8145,4.05,synthetic
REC_0000030,CAMP_1000,2024-10-29,1744.68,21371,434,20,0,0.0,2.0308,4.02,synthetic
REC_0000031,CAMP_1000,2024-10-30,1177.97,11752,337,20,0,0.0,2.8676,3.5,synthetic
REC_0000032,CAMP_1000,2024-10-31,1260.08,10326,235,7,0,0.0,2.2758,5.36,synthetic
REC_0000033,CAMP_1000,2024-11-01,665.54,8202,191,12,0,0.0,2.3287,3.48,synthetic
REC_0000034,CAMP_1000,2024-11-02,763.75,12461,121,10,0,0.0,0.971,6.31,synthetic
REC_0000035,CAMP_1000,2024-11-03,708.54,11377,109,3,0,0.0,0.9581,6.5,synthetic
REC_0000036,CAMP_1000,2024-11-04,1965.07,19341,339,25,0,0.0,1.7528,5.8,synthetic
REC_0000037,CAMP_1000,2024-11-05,1550.96,16383,266,18,0,0.0,1.6236,5.83,synthetic
REC_0000038,CAMP_1000,2024-11-06,1196.29,12933,121,3,0,0.0,0.9356,9.89,synthetic
REC_0000039,CAMP_1000,2024-11-07,1373.52,13736,174,13,0,0.0,1.2667,7.89,synthetic
REC_0000040,CAMP_1000,2024-11-08,975.45,16323,136,8,0,0.0,0.8332,7.17,synthetic
REC_0000041,CAMP_1000,2024-11-09,984.13,8916,171,7,0,0.0,1.9179,5.76,synthetic
REC_0000042,CAMP_1000,2024-11-10,1045.42,12769,160,11,0,0.0,1.253,6.53,synthetic
REC_0000043,CAMP_1000,2024-11-11,1642.49,15535,140,5,0,0.0,0.9012,11.73,synthetic
REC_0000044,CAMP_1000,2024-11-12,1705.55,17600,147,5,0,0.0,0.8352,11.6,synthetic
REC_0000045,CAMP_1000,2024-11-13,1187.19,9147,240,21,0,0.0,2.6238,4.95,synthetic
REC_0000046,CAMP_1000,2024-11-14,1354.9,21111,361,18,0,0.0,1.71,3.75,synthetic
REC_0000047,CAMP_1000,2024-11-15,624.58,4961,72,6,0,0.0,1.4513,8.67,synthetic
REC_0000048,CAMP_1000,2024-11-16,603.22,6130,58,3,0,0.0,0.9462,10.4,synthetic
REC_0000049,CAMP_1000,2024-11-17,1010.24,8493,161,14,0,0.0,1.8957,6.27,synthetic
REC_0000050,CAMP_1000,2024-11-18,1351.53,20720,398,34,0,0.0,1.9208,3.4,synthetic
REC_0000051,CAMP_1000,2024-11-19,1298.93,15317,171,5,0,0.0,1.1164,7.6,synthetic
REC_0000052,CAMP_1000,2024-11-20,1164.28,13898,241,9,0,0.0,1.7341,4.83,synthetic
REC_0000053,CAMP_1000,2024-11-21,1312.82,20094,225,10,0,0.0,1.1197,5.83,synthetic
REC_0000054,CAMP_1000,2024-11-22,680.93,6856,103,10,0,0.0,1.5023,6.61,synthetic
REC_0000055,CAMP_1000,2024-11-23,807.95,6346,117,8,0,0.0,1.8437,6.91,synthetic
REC_0000056,CAMP_1000,2024-11-24,934.81,9916,226,10,0,0.0,2.2791,4.14,synthetic
REC_0000057,CAMP_1000,2024-11-25,1483.37,16838,195,10,0,0.0,1.1581,7.61,synthetic
REC_0000058,CAMP_1000,2024-11-26,1373.47,26766,563,22,1,1435.93,2.1034,2.44,synthetic
REC_0000059,CAMP_1000,2024-11-27,1715.43,23360,373,25,0,0.0,1.5967,4.6,synthetic
REC_0000060,CAMP_1000,2024-11-28,1599.46,30388,850,50,1,1543.58,2.7972,1.88,synthetic
REC_0000061,CAMP_1000,2024-11-29,823.93,9773,195,11,0,0.0,1.9953,4.23,synthetic
REC_0000062,CAMP_1000,2024-11-30,638.33,9627,241,9,0,0.0,2.5034,2.65,synthetic
REC_0000063,CAMP_1001,2024-06-27,2044.6,18028,608,53,2,10443.7,3.3725,3.36,synthetic
REC_0000064,CAMP_1001,2024-06-28,1457.78,20207,918,98,1,5134.1,4.543,1.59,synthetic
REC_0000065,CAMP_1001,2024-06-29,1430.94,22918,694,42,1,3114.96,3.0282,2.06,synthetic
REC_0000066,CAMP_1001,2024-06-30,1039.33,8194,112,13,0,0.0,1.3669,9.28,synthetic
REC_0000067,CAMP_1001,2024-07-01,1618.97,11632,228,18,0,0.0,1.9601,7.1,synthetic
REC_0000068,CAMP_1001,2024-07-02,2744.31,24827,376,34,1,4946.19,1.5145,7.3,synthetic
REC_0000069,CAMP_1001,2024-07-03,1584.66,25828,481,47,0,0.0,1.8623,3.29,synthetic
REC_0000070,CAMP_1001,2024-07-04,2133.52,18204,184,18,0,0.0,1.0108,11.6,synthetic
REC_0000071,CAMP_1001,2024-07-05,955.3,13397,595,62,1,3990.13,4.4413,1.61,synthetic
REC_0000072,CAMP_1001,2024-07-06,1413.07,10588,233,20,0,0.0,2.2006,6.06,synthetic
REC_0000073,CAMP_1001,2024-07-07,1488.23,14194,219,18,0,0.0,1.5429,6.8,synthetic
REC_0000074,CAMP_1001,2024-07-08,2565.93,22942,571,61,1,5041.12,2.4889,4.49,synthetic
REC_0000075,CAMP_1001,2024-07-09,2204.79,21390,281,27,0,0.0,1.3137,7.85,synthetic
REC_0000076,CAMP_1001,2024-07-10,2161.44,19629,801,33,1,2399.79,4.0807,2.7,synthetic
REC_0000077,CAMP_1001,2024-07-11,2785.59,20526,336,36,0,0.0,1.6369,8.29,synthetic
REC_0000078,CAMP_1001,2024-07-12,938.96,11196,462,18,1,3882.25,4.1265,2.03,synthetic
REC_0000079,CAMP_1001,2024-07-13,1165.21,13141,463,30,0,0.0,3.5233,2.52,synthetic
REC_0000080,CAMP_1001,2024-07-14,1217.1,10783,450,34,1,4707.89,4.1732,2.7,synthetic
REC_0000081,CAMP_1001,2024-07-15,1965.48,20031,453,53,1,2261.24,2.2615,4.34,synthetic
REC_0000082,CAMP_1001,2024-07-16,2528.37,19223,489,57,1,4964.99,2.5438,5.17,synthetic
REC_0000083,CAMP_1001,2024-07-17,1637.91,25060,307,27,0,0.0,1.2251,5.34,synthetic
REC_0000084,CAMP_1001,2024-07-18,1977.36,32617,564,47,1,4350.7,1.7292,3.51,synthetic
REC_0000085,CAMP_1001,2024-07-19,1050.46,8316,139,15,0,0.0,1.6715,7.56,synthetic
REC_0000086,CAMP_1001,2024-07-20,1500.15,10052,287,21,0,0.0,2.8552,5.23,synthetic
REC_0000087,CAMP_1001,2024-07-21,1140.71,11209,156,6,0,0.0,1.3917,7.31,synthetic
REC_0000088,CAMP_1001,2024-07-22,1985.52,32526,892,103,3,11572.95,2.7424,2.23,synthetic
REC_0000089,CAMP_1001,2024-07-23,2560.58,17786,567,65,2,8941.14,3.1879,4.52,synthetic
REC_0000090,CAMP_1001,2024-07-24,1697.8,13365,205,11,0,0.0,1.5339,8.28,synthetic
REC_0000091,CAMP_1001,2024-07-25,1610.93,25206,454,25,1,5054.03,1.8012,3.55,synthetic
REC_0000092,CAMP_1001,2024-07-26,1357.53,17733,364,24,0,0.0,2.0527,3.73,synthetic
REC_0000093,CAMP_1001,2024-07-27,1031.53,8733,123,10,0,0.0,1.4085,8.39,synthetic
REC_0000094,CAMP_1001,2024-07-28,1389.4,14473,606,61,2,6475.94,4.1871,2.29,synthetic
REC_0000095,CAMP_1001,2024-07-29,2150.15,18090,750,58,1,3124.21,4.1459,2.87,synthetic
REC_0000096,CAMP_1001,2024-07-30,2326.13,25881,1274,53,2,10403.02,4.9225,1.83,synthetic
REC_0000097,CAMP_1001,2024-07-31,2730.82,22125,376,25,1,5357.68,1.6994,7.26,synthetic
REC_0000098,CAMP_1001,2024-08-01,2736.97,19485,923,56,1,5483.56,4.737,2.97,synthetic
REC_0000099,CAMP_1001,2024-08-02,1415.38,9659,127,11,0,0.0,1.3148,11.14,synthetic
REC_0000100,CAMP_1001,2024-08-03,1068.15,7763,380,41,0,0.0,4.895,2.81,synthetic
REC_0000101,CAMP_1001,2024-08-04,1222.38,16274,586,64,1,3113.37,3.6008,2.09,synthetic
REC_0000102,CAMP_1001,2024-08-05,2573.6,34199,1313,134,3,10954.42,3.8393,1.96,synthetic
REC_0000103,CAMP_1001,2024-08-06,1932.67,21048,332,16,0,0.0,1.5773,5.82,synthetic
REC_0000104,CAMP_1001,2024-08-07,2747.54,41873,843,96,2,3762.44,2.0132,3.26,synthetic
REC_0000105,CAMP_1001,2024-08-08,1533.24,13538,239,18,0,0.0,1.7654,6.42,synthetic
REC_0000106,CAMP_1001,2024-08-09,1443.31,17831,841,88,1,3841.51,4.7165,1.72,synthetic
REC_0000107,CAMP_1001,2024-08-10,963.88,6658,303,18,0,0.0,4.5509,3.18,synthetic
REC_0000108,CAMP_1001,2024-08-11,1155.12,9145,128,12,0,0.0,1.3997,9.02,synthetic
REC_0000109,CAMP_1001,2024-08-12,2663.49,26805,343,18,0,0.0,1.2796,7.77,synthetic
REC_0000110,CAMP_1001,2024-08-13,1556.86,11328,235,25,0,0.0,2.0745,6.62,synthetic
REC_0000111,CAMP_1001,2024-08-14,2319.14,23532,676,54,1,1526.52,2.8727,3.43,synthetic
REC_0000112,CAMP_1001,2024-08-15,1940.27,14494,492,44,1,1697.28,3.3945,3.94,synthetic
REC_0000113,CAMP_1001,2024-08-16,1354.32,16681,478,29,1,3909.91,2.8655,2.83,synthetic
REC_0000114,CAMP_1001,2024-08-17,940.44,7108,296,16,0,0.0,4.1643,3.18,synthetic
REC_0000115,CAMP_1001,2024-08-18,1240.6,8525,175,17,0,0.0,2.0528,7.09,synthetic
REC_0000116,CAMP_1001,2024-08-19,1555.62,13464,499,38,0,0.0,3.7062,3.12,synthetic
REC_0000117,CAMP_1001,2024-08-20,2111.37,19130,764,58,1,5697.6,3.9937,2.76,synthetic
REC_0000118,CAMP_1001,2024-08-21,1853.77,17477,781,86,0,0.0,4.4687,2.37,synthetic
REC_0000119,CAMP_1001,2024-08-22,2322.76,16647,518,42,1,4957.28,3.1117,4.48,synthetic
REC_0000120,CAMP_1001,2024-08-23,1024.29,13350,326,36,0,0.0,2.4419,3.14,synthetic
REC_0000121,CAMP_1001,2024-08-24,1352.82,14623,701,63,1,3890.72,4.7938,1.93,synthetic
REC_0000122,CAMP_1001,2024-08-25,943.91,10091,198,18,0,0.0,1.9621,4.77,synthetic
REC_0000123,CAMP_1001,2024-08-26,2492.54,24101,792,61,2,8122.24,3.2862,3.15,synthetic
REC_0000124,CAMP_1001,2024-08-27,1759.11,12278,272,11,0,0.0,2.2153,6.47,synthetic
REC_0000125,CAMP_1001,2024-08-28,2543.89,27034,408,33,1,2322.36,1.5092,6.24,synthetic
REC_0000126,CAMP_1001,2024-08-29,2642.71,23077,726,40,2,8079.68,3.146,3.64,synthetic
REC_0000127,CAMP_1002,2024-07-27,4242.03,233126,49189,8649,5,31772.62,21.0997,0.09,synthetic
REC_0000128,CAMP_1002,2024-07-28,6368.58,319739,87121,14658,5,19990.77,27.2475,0.07,synthetic
REC_0000129,CAMP_1002,2024-07-29,9236.45,601864,93261,22638,5,28828.96,15.4954,0.1,synthetic
REC_0000130,CAMP_1002,2024-07-30,12785.54,1572425,307820,52811,5,15429.12,19.5761,0.04,synthetic
REC_0000131,CAMP_1002,2024-07-31,10094.19,1143147,366180,39753,5,9678.27,32.0326,0.03,synthetic
REC_0000132,CAMP_1002,2024-08-01,10531.8,686590,123113,22819,5,22504.05,17.9311,0.09,synthetic
REC_0000133,CAMP_1002,2024-08-02,4121.49,413309,102352,13797,5,9563.5,24.764,0.04,synthetic
REC_0000134,CAMP_1002,2024-08-03,5603.31,463158,149460,32736,5,19415.11,32.2698,0.04,synthetic
REC_0000135,CAMP_1002,2024-08-04,4981.23,658694,116698,15707,5,23377.04,17.7166,0.04,synthetic
REC_0000136,CAMP_1002,2024-08-05,11532.59,1124063,308183,32947,5,19206.35,27.4169,0.04,synthetic
REC_0000137,CAMP_1002,2024-08-06,11431.14,1002610,161845,21494,5,23829.75,16.1424,0.07,synthetic
REC_0000138,CAMP_1002,2024-08-07,10203.45,1305925,215655,38800,5,10079.75,16.5136,0.05,synthetic
REC_0000139,CAMP_1002,2024-08-08,9602.61,545948,163473,25104,5,28488.35,29.943,0.06,synthetic
REC_0000140,CAMP_1002,2024-08-09,3999.42,501882,131065,30919,5,13477.34,26.1147,0.03,synthetic
REC_0000141,CAMP_1002,2024-08-10,5683.75,717266,159865,21899,5,19403.8,22.2881,0.04,synthetic
REC_0000142,CAMP_1002,2024-08-11,6977.92,460920,83636,20904,5,33447.89,18.1454,0.08,synthetic
REC_0000143,CAMP_1002,2024-08-12,7503.49,403217,120431,21092,5,10285.22,29.8675,0.06,synthetic
REC_0000144,CAMP_1002,2024-08-13,7510.48,963873,310556,73943,5,9728.23,32.2196,0.02,synthetic
REC_0000145,CAMP_1002,2024-08-14,10772.65,795646,213292,34011,5,29329.16,26.8074,0.05,synthetic
REC_0000146,CAMP_1002,2024-08-15,8181.5,1097618,335787,50211,5,13294.1,30.5923,0.02,synthetic
REC_0000147,CAMP_1002,2024-08-16,5896.02,367422,100944,12296,5,10401.12,27.4736,0.06,synthetic
REC_0000148,CAMP_1002,2024-08-17,4646.65,251838,74124,14529,5,14718.29,29.4332,0.06,synthetic
REC_0000149,CAMP_1002,2024-08-18,4555.93,391433,126024,18472,5,36102.31,32.1955,0.04,synthetic
REC_0000150,CAMP_1002,2024-08-19,12251.06,810919,158416,35129,5,8835.36,19.5354,0.08,synthetic
REC_0000151,CAMP_1002,2024-08-20,9905.26,1932219,491326,106806,5,20498.72,25.4281,0.02,synthetic
REC_0000152,CAMP_1002,2024-08-21,9529.78,1129174,332171,50406,5,19326.91,29.4172,0.03,synthetic
REC_0000153,CAMP_1002,2024-08-22,7899.99,1416710,312289,32945,5,13474.81,22.0433,0.03,synthetic
REC_0000154,CAMP_1002,2024-08-23,6315.59,728302,117098,13415,5,29502.51,16.0782,0.05,synthetic
REC_0000155,CAMP_1002,2024-08-24,4898.02,756545,245586,32769,5,26273.21,32.4615,0.02,synthetic
REC_0000156,CAMP_1002,2024-08-25,4234.41,216342,43655,9873,5,36305.12,20.1787,0.1,synthetic
REC_0000157,CAMP_1002,2024-08-26,11959.75,777624,170107,35150,5,33572.96,21.8752,0.07,synthetic
REC_0000158,CAMP_1002,2024-08-27,12576.19,1844889,282023,53841,5,13773.79,15.2867,0.04,synthetic
REC_0000159,CAMP_1002,2024-08-28,10486.02,572235,158771,35497,5,12403.12,27.7458,0.07,synthetic
REC_0000160,CAMP_1002,2024-08-29,9316.77,540351,129583,15343,5,8830.27,23.9813,0.07,synthetic
REC_0000161,CAMP_1002,2024-08-30,6844.56,720408,212487,49975,5,11191.6,29.4954,0.03,synthetic
REC_0000162,CAMP_1002,2024-08-31,5799.6,424563,80256,10763,5,9750.22,18.9032,0.07,synthetic
REC_0000163,CAMP_1002,2024-09-01,4047.06,237127,50953,12401,5,21826.94,21.4876,0.08,synthetic
REC_0000164,CAMP_1002,2024-09-02,8615.55,762168,227422,42536,5,15915.57,29.8388,0.04,synthetic
REC_0000165,CAMP_1002,2024-09-03,9315.41,1603708,476309,53006,5,10752.05,29.7005,0.02,synthetic
REC_0000166,CAMP_1002,2024-09-04,9697.62,1160636,305234,34536,5,27799.67,26.2989,0.03,synthetic
REC_0000167,CAMP_1002,2024-09-05,12723.9,1144647,230272,30043,5,22000.48,20.1173,0.06,synthetic
REC_0000168,CAMP_1002,2024-09-06,5056.23,284182,87418,16725,5,21287.57,30.7613,0.06,synthetic
REC_0000169,CAMP_1003,2024-04-05,677.84,8535,334,28,1,5497.63,3.9133,2.03,synthetic
REC_0000170,CAMP_1003,2024-04-06,758.44,5542,134,8,0,0.0,2.4179,5.66,synthetic
REC_0000171,CAMP_1003,2024-04-07,827.88,7350,298,32,1,3059.16,4.0544,2.78,synthetic
REC_0000172,CAMP_1003,2024-04-08,2075.48,18291,352,14,0,0.0,1.9244,5.9,synthetic
REC_0000173,CAMP_1003,2024-04-09,1334.45,19162,433,35,1,2241.4,2.2597,3.08,synthetic
REC_0000174,CAMP_1003,2024-04-10,2080.24,18517,476,22,1,4611.96,2.5706,4.37,synthetic
REC_0000175,CAMP_1003,2024-04-11,1310.03,11236,177,14,0,0.0,1.5753,7.4,synthetic
REC_0000176,CAMP_1003,2024-04-12,683.59,8912,359,41,0,0.0,4.0283,1.9,synthetic
REC_0000177,CAMP_1003,2024-04-13,881.24,7517,197,21,0,0.0,2.6207,4.47,synthetic
REC_0000178,CAMP_1003,2024-04-14,745.62,6910,227,20,0,0.0,3.2851,3.28,synthetic
REC_0000179,CAMP_1003,2024-04-15,1970.54,14613,227,24,0,0.0,1.5534,8.68,synthetic
REC_0000180,CAMP_1003,2024-04-16,1588.08,16812,471,47,1,2270.18,2.8016,3.37,synthetic
REC_0000181,CAMP_1003,2024-04-17,1238.35,17480,636,33,2,6269.38,3.6384,1.95,synthetic
REC_0000182,CAMP_1003,2024-04-18,1552.76,16376,173,19,0,0.0,1.0564,8.98,synthetic
REC_0000183,CAMP_1003,2024-04-19,632.73,6737,150,9,0,0.0,2.2265,4.22,synthetic
REC_0000184,CAMP_1003,2024-04-20,1015.14,10293,190,9,0,0.0,1.8459,5.34,synthetic
REC_0000185,CAMP_1003,2024-04-21,625.35,9372,241,10,0,0.0,2.5715,2.59,synthetic
REC_0000186,CAMP_1003,2024-04-22,1342.73,14589,444,27,1,4086.85,3.0434,3.02,synthetic
REC_0000187,CAMP_1003,2024-04-23,1183.29,8038,124,11,0,0.0,1.5427,9.54,synthetic
REC_0000188,CAMP_1003,2024-04-24,1777.78,23291,323,14,0,0.0,1.3868,5.5,synthetic
REC_0000189,CAMP_1003,2024-04-25,1872.42,14364,407,22,1,4058.83,2.8335,4.6,synthetic
REC_0000190,CAMP_1003,2024-04-26,762.47,6849,175,7,0,0.0,2.5551,4.36,synthetic
REC_0000191,CAMP_1003,2024-04-27,967.47,7118,248,22,0,0.0,3.4841,3.9,synthetic
REC_0000192,CAMP_1003,2024-04-28,762.32,10082,251,12,0,0.0,2.4896,3.04,synthetic
REC_0000193,CAMP_1003,2024-04-29,1316.85,12030,563,44,1,4638.12,4.68,2.34,synthetic
REC_0000194,CAMP_1004,2024-01-19,2124.15,19259,890,79,3,6972.54,4.6212,2.39,synthetic
REC_0000195,CAMP_1004,2024-01-20,2501.14,27342,1220,125,3,13154.27,4.462,2.05,synthetic
REC_0000196,CAMP_1004,2024-01-21,2521.78,31293,1392,173,5,23870.59,4.4483,1.81,synthetic
REC_0000197,CAMP_1004,2024-01-22,4914.51,37583,2914,151,5,23750.11,7.7535,1.69,synthetic
REC_0000198,CAMP_1004,2024-01-23,5974.66,65362,2557,257,2,13379.57,3.9121,2.34,synthetic
REC_0000199,CAMP_1004,2024-01-24,4230.91,42745,1744,221,5,22419.14,4.08,2.43,synthetic
REC_0000200,CAMP_1004,2024-01-25,5605.08,56748,2685,306,5,21040.43,4.7314,2.09,synthetic
REC_0000201,CAMP_1004,2024-01-26,2983.79,17456,1254,79,1,3253.24,7.1838,2.38,synthetic
REC_0000202,CAMP_1004,2024-01-27,3053.14,18093,774,83,2,13812.78,4.2779,3.94,synthetic
REC_0000203,CAMP_1004,2024-01-28,2760.32,18081,1262,113,5,11763.65,6.9797,2.19,synthetic
REC_0000204,CAMP_1004,2024-01-29,5069.02,53677,2224,277,5,24896.18,4.1433,2.28,synthetic
REC_0000205,CAMP_1004,2024-01-30,4604.74,33735,1613,98,5,12581.27,4.7814,2.85,synthetic
REC_0000206,CAMP_1004,2024-01-31,4818.34,42187,2804,256,5,15049.8,6.6466,1.72,synthetic
REC_0000207,CAMP_1004,2024-02-01,5997.94,69002,2324,286,5,14669.43,3.368,2.58,synthetic
REC_0000208,CAMP_1004,2024-02-02,3429.37,23747,1737,244,4,8371.04,7.3146,1.97,synthetic
REC_0000209,CAMP_1004,2024-02-03,1894.8,17733,1063,123,1,4745.79,5.9945,1.78,synthetic
REC_0000210,CAMP_1004,2024-02-04,2793.78,25357,1578,180,5,7683.94,6.2231,1.77,synthetic
REC_0000211,CAMP_1004,2024-02-05,5773.54,36050,2648,377,5,26516.8,7.3454,2.18,synthetic
REC_0000212,CAMP_1004,2024-02-06,4427.03,30717,2026,269,2,13644.08,6.5957,2.19,synthetic
REC_0000213,CAMP_1004,2024-02-07,5593.16,35832,1898,145,4,9238.99,5.2969,2.95,synthetic
REC_0000214,CAMP_1004,2024-02-08,4596.94,27003,1338,181,3,10898.84,4.955,3.44,synthetic
REC_0000215,CAMP_1004,2024-02-09,2980.65,17384,901,60,4,11647.54,5.1829,3.31,synthetic
REC_0000216,CAMP_1004,2024-02-10,1933.8,23199,1464,156,5,26907.56,6.3106,1.32,synthetic
REC_0000217,CAMP_1004,2024-02-11,3159.99,36211,1564,84,3,8100.93,4.3191,2.02,synthetic
REC_0000218,CAMP_1004,2024-02-12,6399.99,60336,2164,233,5,14680.46,3.5866,2.96,synthetic
REC_0000219,CAMP_1004,2024-02-13,3513.45,37732,2530,294,5,16469.7,6.7052,1.39,synthetic
REC_0000220,CAMP_1004,2024-02-14,3644.38,45066,1765,209,3,13052.1,3.9165,2.06,synthetic
REC_0000221,CAMP_1004,2024-02-15,3772.15,33850,2415,360,5,26146.02,7.1344,1.56,synthetic
REC_0000222,CAMP_1004,2024-02-16,2152.76,14099,490,46,1,4449.84,3.4754,4.39,synthetic
REC_0000223,CAMP_1004,2024-02-17,2682.76,31497,2289,336,3,13416.63,7.2674,1.17,synthetic
REC_0000224,CAMP_1004,2024-02-18,2268.36,18581,1054,88,2,7195.1,5.6725,2.15,synthetic
REC_0000225,CAMP_1004,2024-02-19,5942.09,47056,3336,328,5,28453.09,7.0894,1.78,synthetic
REC_0000226,CAMP_1004,2024-02-20,4044.8,30053,917,93,4,29546.54,3.0513,4.41,synthetic
REC_0000227,CAMP_1004,2024-02-21,4926.06,27595,1683,169,5,25467.27,6.0989,2.93,synthetic
REC_0000228,CAMP_1004,2024-02-22,5179.36,45091,1814,228,3,12783.15,4.023,2.86,synthetic
REC_0000229,CAMP_1004,2024-02-23,3071.24,33654,1876,163,4,25787.35,5.5744,1.64,synthetic
REC_0000230,CAMP_1004,2024-02-24,2478.07,18534,1254,144,4,20079.6,6.7659,1.98,synthetic
REC_0000231,CAMP_1004,2024-02-25,1962.14,19727,1258,106,4,19589.13,6.377,1.56,synthetic
REC_0000232,CAMP_1004,2024-02-26,5409.38,45197,3211,253,5,17496.51,7.1045,1.68,synthetic
REC_0000233,CAMP_1004,2024-02-27,4728.64,38172,1793,242,5,25840.42,4.6972,2.64,synthetic
REC_0000234,CAMP_1004,2024-02-28,5880.21,38219,1238,95,5,21154.74,3.2392,4.75,synthetic
REC_0000235,CAMP_1004,2024-02-29,4885.25,40188,1673,164,5,16325.55,4.1629,2.92,synthetic
REC_0000236,CAMP_1004,2024-03-01,2578.07,14512,621,89,1,2695.65,4.2792,4.15,synthetic
REC_0000237,CAMP_1004,2024-03-02,3413.87,21346,1548,136,4,14024.35,7.2519,2.21,synthetic
REC_0000238,CAMP_1004,2024-03-03,3273.19,20403,1180,94,4,17588.49,5.7835,2.77,synthetic
REC_0000239,CAMP_1004,2024-03-04,6226.0,42987,2892,349,5,23291.92,6.7276,2.15,synthetic
REC_0000240,CAMP_1004,2024-03-05,6290.23,64518,2160,227,3,22073.65,3.3479,2.91,synthetic
REC_0000241,CAMP_1004,2024-03-06,4194.21,24134,1921,233,5,37477.22,7.9597,2.18,synthetic
REC_0000242,CAMP_1004,2024-03-07,6277.84,37480,2950,278,5,21883.04,7.8709,2.13,synthetic
REC_0000243,CAMP_1004,2024-03-08,1994.46,12594,926,75,1,3227.84,7.3527,2.15,synthetic
REC_0000244,CAMP_1004,2024-03-09,2311.7,23154,1035,106,3,6138.84,4.4701,2.23,synthetic
REC_0000245,CAMP_1004,2024-03-10,3166.63,23351,833,75,1,4012.56,3.5673,3.8,synthetic
REC_0000246,CAMP_1004,2024-03-11,3713.3,29314,1996,204,5,25543.79,6.809,1.86,synthetic
REC_0000247,CAMP_1004,2024-03-12,5838.13,42126,2143,185,5,10415.2,5.0871,2.72,synthetic
REC_0000248,CAMP_1004,2024-03-13,5066.4,31543,1291,142,3,17207.8,4.0928,3.92,synthetic
REC_0000249,CAMP_1004,2024-03-14,5439.96,36073,1610,223,5,23656.19,4.4632,3.38,synthetic
REC_0000250,CAMP_1004,2024-03-15,1932.76,18097,645,80,3,15455.24,3.5641,3.0,synthetic
REC_0000251,CAMP_1004,2024-03-16,2497.71,27652,1114,101,4,21715.37,4.0286,2.24,synthetic
REC_0000252,CAMP_1004,2024-03-17,2896.06,21287,1139,147,1,3613.9,5.3507,2.54,synthetic
